Device_ID,Hostname,IP_Address,Device_Type,Vendor,Model,Location,Rack,Firmware
DEV-0238,access-switch-0238,10.1.238.10,FIREWALL,Juniper,MX204,DC-2,R04,17.9.4
DEV-0239,firewall-0239,10.1.239.10,ROUTER,Dell,S5248F,DC-2,R13,20.4R3
DEV-0240,core-switch-0240,10.1.240.10,CORE_SWITCH,Cisco,ISR-4331,DC-2,R28,10.2.1
DEV-0241,access-switch-0241,10.1.241.10,DISTRIBUTION_SWITCH,Arista,7050X3,DC-2,R28,4.28.6M
DEV-0242,firewall-0242,10.1.242.10,ROUTER,Dell,N3248,BRANCH-A,R18,4.28.6M
DEV-0243,core-switch-0243,10.1.243.10,ROUTER,Arista,7280R,DC-1,R10,16.12.6
DEV-0244,access-switch-0244,10.1.244.10,DISTRIBUTION_SWITCH,Juniper,MX204,BRANCH-C,R15,10.2.1
DEV-0245,router-0245,10.1.245.10,ACCESS_SWITCH,HPE,Aruba-6300,BRANCH-A,R29,4.28.6M
DEV-0246,access-switch-0246,10.1.246.10,CORE_SWITCH,Dell,N3248,HQ,R11,17.9.4
DEV-0247,distribution-switch-0247,10.1.247.10,DISTRIBUTION_SWITCH,Juniper,EX3400,BRANCH-A,R17,20.4R3
DEV-0248,core-switch-0248,10.1.248.10,FIREWALL,Dell,S5248F,HQ,R20,17.9.4
DEV-0249,access-switch-0249,10.1.249.10,ACCESS_SWITCH,HPE,Aruba-6300,DC-1,R30,4.28.6M
DEV-0250,firewall-0250,10.1.250.10,FIREWALL,HPE,Aruba-6300,BRANCH-B,R27,4.28.6M
DEV-0251,core-switch-0251,10.1.251.10,FIREWALL,Arista,7050X3,HQ,R01,17.9.4
DEV-0252,distribution-switch-0252,10.1.252.10,FIREWALL,HPE,Aruba-6300,DC-1,R25,4.28.6M
DEV-0253,router-0253,10.1.253.10,ACCESS_SWITCH,Juniper,MX204,BRANCH-A,R14,16.12.6
DEV-0254,firewall-0254,10.1.254.10,FIREWALL,Cisco,ISR-4331,HQ,R14,17.9.4
DEV-0255,access-switch-0255,10.2.1.10,FIREWALL,HPE,Aruba-8320,BRANCH-A,R21,4.28.6M
DEV-0256,access-switch-0256,10.2.2.10,ROUTER,Juniper,MX204,DC-1,R30,16.12.6
DEV-0257,router-0257,10.2.3.10,ROUTER,HPE,Aruba-6300,BRANCH-C,R16,16.12.6
DEV-0258,firewall-0258,10.2.4.10,FIREWALL,HPE,Aruba-8320,HQ,R13,16.12.6
DEV-0259,distribution-switch-0259,10.2.5.10,DISTRIBUTION_SWITCH,Dell,N3248,BRANCH-C,R11,10.2.1
DEV-0260,core-switch-0260,10.2.6.10,ROUTER,Cisco,ISR-4331,DC-1,R08,20.4R3
DEV-0261,core-switch-0261,10.2.7.10,CORE_SWITCH,Arista,7280R,DC-1,R14,4.28.6M
DEV-0262,core-switch-0262,10.2.8.10,DISTRIBUTION_SWITCH,HPE,Aruba-8320,DC-2,R28,16.12.6
DEV-0263,core-switch-0263,10.2.9.10,CORE_SWITCH,Juniper,EX3400,BRANCH-B,R30,16.12.6
DEV-0264,router-0264,10.2.10.10,DISTRIBUTION_SWITCH,Dell,N3248,DC-2,R06,17.9.4
DEV-0265,distribution-switch-0265,10.2.11.10,DISTRIBUTION_SWITCH,Juniper,MX204,BRANCH-A,R17,20.4R3
DEV-0266,access-switch-0266,10.2.12.10,ACCESS_SWITCH,Dell,N3248,DC-1,R06,16.12.6
DEV-0267,distribution-switch-0267,10.2.13.10,ROUTER,Cisco,ISR-4331,DC-2,R28,4.28.6M
DEV-0268,access-switch-0268,10.2.14.10,ROUTER,Arista,7280R,BRANCH-A,R06,17.9.4
DEV-0269,access-switch-0269,10.2.15.10,CORE_SWITCH,Juniper,MX204,DC-2,R14,20.4R3
DEV-0270,router-0270,10.2.16.10,ROUTER,Juniper,EX3400,DC-1,R13,20.4R3
DEV-0271,access-switch-0271,10.2.17.10,ROUTER,Juniper,EX3400,BRANCH-B,R23,10.2.1
DEV-0272,router-0272,10.2.18.10,DISTRIBUTION_SWITCH,Arista,7280R,DC-2,R19,10.2.1
DEV-0273,access-switch-0273,10.2.19.10,ACCESS_SWITCH,Cisco,ISR-4331,DC-2,R19,20.4R3
DEV-0274,firewall-0274,10.2.20.10,CORE_SWITCH,Dell,S5248F,BRANCH-A,R17,10.2.1
DEV-0275,firewall-0275,10.2.21.10,ROUTER,Juniper,EX3400,BRANCH-A,R28,4.28.6M
DEV-0276,router-0276,10.2.22.10,DISTRIBUTION_SWITCH,HPE,Aruba-6300,HQ,R09,4.28.6M
DEV-0277,firewall-0277,10.2.23.10,DISTRIBUTION_SWITCH,Juniper,MX204,BRANCH-A,R02,17.9.4
DEV-0278,distribution-switch-0278,10.2.24.10,ACCESS_SWITCH,HPE,Aruba-6300,DC-2,R22,10.2.1
DEV-0279,access-switch-0279,10.2.25.10,FIREWALL,HPE,Aruba-8320,BRANCH-B,R15,16.12.6
DEV-0280,distribution-switch-0280,10.2.26.10,ROUTER,Arista,7280R,BRANCH-C,R23,17.9.4
DEV-0281,distribution-switch-0281,10.2.27.10,FIREWALL,HPE,Aruba-6300,BRANCH-C,R13,16.12.6
DEV-0282,firewall-0282,10.2.28.10,CORE_SWITCH,HPE,Aruba-8320,DC-2,R07,16.12.6
DEV-0283,core-switch-0283,10.2.29.10,CORE_SWITCH,Arista,7280R,DC-2,R03,10.2.1
DEV-0284,core-switch-0284,10.2.30.10,ROUTER,Dell,N3248,BRANCH-A,R13,20.4R3
DEV-0285,access-switch-0285,10.2.31.10,DISTRIBUTION_SWITCH,Juniper,EX3400,DC-2,R12,16.12.6
DEV-0286,firewall-0286,10.2.32.10,ROUTER,Cisco,ISR-4331,HQ,R12,16.12.6
DEV-0287,router-0287,10.2.33.10,ROUTER,Cisco,Catalyst-9300,HQ,R05,10.2.1
DEV-0288,firewall-0288,10.2.34.10,CORE_SWITCH,HPE,Aruba-6300,BRANCH-A,R24,4.28.6M
DEV-0289,access-switch-0289,10.2.35.10,FIREWALL,HPE,Aruba-8320,DC-2,R14,17.9.4
DEV-0290,firewall-0290,10.2.36.10,ROUTER,Cisco,ISR-4331,BRANCH-B,R01,20.4R3
DEV-0291,firewall-0291,10.2.37.10,ACCESS_SWITCH,Dell,S5248F,DC-1,R17,20.4R3
DEV-0292,distribution-switch-0292,10.2.38.10,ROUTER,HPE,Aruba-6300,DC-2,R24,20.4R3
DEV-0293,distribution-switch-0293,10.2.39.10,CORE_SWITCH,Arista,7280R,BRANCH-B,R25,20.4R3
DEV-0294,router-0294,10.2.40.10,ROUTER,Juniper,EX3400,BRANCH-C,R13,4.28.6M
DEV-0295,distribution-switch-0295,10.2.41.10,ROUTER,Juniper,EX3400,DC-2,R21,16.12.6
DEV-0296,firewall-0296,10.2.42.10,DISTRIBUTION_SWITCH,Dell,S5248F,DC-2,R11,17.9.4
DEV-0297,distribution-switch-0297,10.2.43.10,CORE_SWITCH,Juniper,MX204,DC-1,R12,20.4R3
DEV-0298,router-0298,10.2.44.10,CORE_SWITCH,Cisco,Catalyst-9300,HQ,R16,10.2.1
DEV-0299,core-switch-0299,10.2.45.10,DISTRIBUTION_SWITCH,Dell,N3248,BRANCH-A,R02,17.9.4
DEV-0300,core-switch-0300,10.2.46.10,CORE_SWITCH,Cisco,Catalyst-9300,BRANCH-B,R09,10.2.1
DEV-0301,core-switch-0301,10.2.47.10,ACCESS_SWITCH,Dell,N3248,DC-2,R29,4.28.6M
DEV-0302,distribution-switch-0302,10.2.48.10,DISTRIBUTION_SWITCH,Arista,7050X3,DC-1,R23,20.4R3
DEV-0303,access-switch-0303,10.2.49.10,CORE_SWITCH,Dell,N3248,BRANCH-C,R22,16.12.6
DEV-0304,core-switch-0304,10.2.50.10,ROUTER,Dell,N3248,BRANCH-B,R19,4.28.6M
DEV-0305,core-switch-0305,10.2.51.10,CORE_SWITCH,Dell,S5248F,DC-1,R03,4.28.6M
DEV-0306,access-switch-0306,10.2.52.10,ACCESS_SWITCH,Juniper,MX204,BRANCH-C,R14,17.9.4
DEV-0307,core-switch-0307,10.2.53.10,ACCESS_SWITCH,Juniper,EX3400,DC-2,R08,17.9.4
DEV-0308,firewall-0308,10.2.54.10,FIREWALL,HPE,Aruba-8320,DC-1,R12,10.2.1
DEV-0309,firewall-0309,10.2.55.10,ROUTER,Juniper,MX204,HQ,R16,17.9.4
DEV-0310,access-switch-0310,10.2.56.10,ACCESS_SWITCH,HPE,Aruba-6300,BRANCH-B,R23,20.4R3
DEV-0311,router-0311,10.2.57.10,CORE_SWITCH,Dell,N3248,HQ,R19,4.28.6M
DEV-0312,firewall-0312,10.2.58.10,ACCESS_SWITCH,Dell,N3248,BRANCH-C,R29,4.28.6M
DEV-0313,router-0313,10.2.59.10,ACCESS_SWITCH,Dell,S5248F,BRANCH-A,R03,17.9.4
DEV-0314,distribution-switch-0314,10.2.60.10,DISTRIBUTION_SWITCH,HPE,Aruba-6300,BRANCH-B,R04,17.9.4
DEV-0315,access-switch-0315,10.2.61.10,ROUTER,Cisco,ISR-4331,BRANCH-B,R07,16.12.6
DEV-0316,firewall-0316,10.2.62.10,DISTRIBUTION_SWITCH,Juniper,MX204,BRANCH-A,R20,4.28.6M
DEV-0317,router-0317,10.2.63.10,FIREWALL,Cisco,ISR-4331,HQ,R13,10.2.1
DEV-0318,core-switch-0318,10.2.64.10,DISTRIBUTION_SWITCH,HPE,Aruba-6300,DC-2,R24,17.9.4
DEV-0319,firewall-0319,10.2.65.10,DISTRIBUTION_SWITCH,Cisco,ISR-4331,DC-1,R26,20.4R3
DEV-0320,router-0320,10.2.66.10,DISTRIBUTION_SWITCH,Dell,N3248,HQ,R04,4.28.6M
DEV-0321,core-switch-0321,10.2.67.10,DISTRIBUTION_SWITCH,Juniper,EX3400,BRANCH-A,R10,16.12.6
DEV-0322,firewall-0322,10.2.68.10,CORE_SWITCH,Juniper,EX3400,BRANCH-A,R02,16.12.6
DEV-0323,core-switch-0323,10.2.69.10,FIREWALL,Dell,S5248F,HQ,R28,20.4R3
DEV-0324,core-switch-0324,10.2.70.10,FIREWALL,Juniper,EX3400,DC-1,R30,16.12.6
DEV-0325,access-switch-0325,10.2.71.10,FIREWALL,Juniper,MX204,HQ,R10,10.2.1
DEV-0326,core-switch-0326,10.2.72.10,ACCESS_SWITCH,Cisco,Catalyst-9300,BRANCH-A,R14,20.4R3
DEV-0327,distribution-switch-0327,10.2.73.10,DISTRIBUTION_SWITCH,HPE,Aruba-8320,BRANCH-B,R14,4.28.6M
DEV-0328,core-switch-0328,10.2.74.10,ROUTER,Dell,S5248F,DC-1,R08,16.12.6
DEV-0329,core-switch-0329,10.2.75.10,ROUTER,Arista,7050X3,DC-1,R28,17.9.4
DEV-0330,firewall-0330,10.2.76.10,ROUTER,HPE,Aruba-6300,BRANCH-B,R08,17.9.4
DEV-0331,router-0331,10.2.77.10,FIREWALL,Arista,7280R,HQ,R22,17.9.4
DEV-0332,distribution-switch-0332,10.2.78.10,CORE_SWITCH,HPE,Aruba-6300,DC-2,R23,4.28.6M
DEV-0333,distribution-switch-0333,10.2.79.10,ROUTER,HPE,Aruba-6300,BRANCH-B,R29,16.12.6
DEV-0334,core-switch-0334,10.2.80.10,ROUTER,Juniper,EX3400,BRANCH-A,R08,4.28.6M
DEV-0335,firewall-0335,10.2.81.10,ROUTER,Arista,7050X3,BRANCH-C,R05,4.28.6M
DEV-0336,core-switch-0336,10.2.82.10,CORE_SWITCH,HPE,Aruba-8320,BRANCH-B,R20,17.9.4
DEV-0337,firewall-0337,10.2.83.10,ROUTER,Cisco,ISR-4331,BRANCH-A,R02,10.2.1
DEV-0338,core-switch-0338,10.2.84.10,DISTRIBUTION_SWITCH,HPE,Aruba-6300,DC-2,R09,10.2.1
DEV-0339,access-switch-0339,10.2.85.10,CORE_SWITCH,Juniper,EX3400,DC-1,R11,20.4R3
DEV-0340,distribution-switch-0340,10.2.86.10,ROUTER,HPE,Aruba-8320,BRANCH-C,R03,20.4R3
DEV-0341,firewall-0341,10.2.87.10,ROUTER,HPE,Aruba-8320,BRANCH-A,R15,16.12.6
DEV-0342,distribution-switch-0342,10.2.88.10,FIREWALL,Juniper,EX3400,BRANCH-C,R24,17.9.4
DEV-0343,router-0343,10.2.89.10,CORE_SWITCH,Arista,7050X3,BRANCH-B,R03,17.9.4
DEV-0344,distribution-switch-0344,10.2.90.10,ACCESS_SWITCH,Arista,7280R,BRANCH-C,R20,17.9.4
DEV-0345,core-switch-0345,10.2.91.10,DISTRIBUTION_SWITCH,Juniper,EX3400,BRANCH-B,R22,16.12.6
DEV-0346,core-switch-0346,10.2.92.10,FIREWALL,HPE,Aruba-8320,HQ,R03,16.12.6
DEV-0347,firewall-0347,10.2.93.10,FIREWALL,Cisco,ISR-4331,BRANCH-B,R02,4.28.6M
DEV-0348,router-0348,10.2.94.10,FIREWALL,Cisco,ISR-4331,BRANCH-A,R28,10.2.1
DEV-0349,distribution-switch-0349,10.2.95.10,FIREWALL,HPE,Aruba-8320,BRANCH-C,R29,20.4R3
DEV-0350,router-0350,10.2.96.10,ACCESS_SWITCH,Juniper,EX3400,HQ,R05,20.4R3
DEV-0351,distribution-switch-0351,10.2.97.10,CORE_SWITCH,Juniper,MX204,BRANCH-C,R11,17.9.4
DEV-0352,core-switch-0352,10.2.98.10,ACCESS_SWITCH,Dell,S5248F,HQ,R21,16.12.6
DEV-0353,access-switch-0353,10.2.99.10,ROUTER,HPE,Aruba-6300,BRANCH-A,R04,16.12.6
DEV-0354,router-0354,10.2.100.10,ROUTER,Dell,S5248F,BRANCH-A,R04,4.28.6M
DEV-0355,firewall-0355,10.2.101.10,ROUTER,Juniper,EX3400,BRANCH-C,R29,20.4R3
DEV-0356,router-0356,10.2.102.10,FIREWALL,Arista,7050X3,BRANCH-C,R05,17.9.4
DEV-0357,firewall-0357,10.2.103.10,FIREWALL,Arista,7280R,DC-2,R24,10.2.1
DEV-0358,firewall-0358,10.2.104.10,FIREWALL,Cisco,ISR-4331,DC-2,R13,10.2.1
DEV-0359,distribution-switch-0359,10.2.105.10,FIREWALL,Dell,S5248F,BRANCH-A,R17,20.4R3
DEV-0360,router-0360,10.2.106.10,ACCESS_SWITCH,Cisco,Catalyst-9300,BRANCH-B,R20,10.2.1
DEV-0361,router-0361,10.2.107.10,DISTRIBUTION_SWITCH,Juniper,MX204,BRANCH-A,R18,20.4R3
DEV-0362,firewall-0362,10.2.108.10,ROUTER,Cisco,Catalyst-9300,BRANCH-C,R10,10.2.1
DEV-0363,firewall-0363,10.2.109.10,CORE_SWITCH,Juniper,EX3400,DC-1,R24,16.12.6
DEV-0364,core-switch-0364,10.2.110.10,DISTRIBUTION_SWITCH,Cisco,ISR-4331,BRANCH-B,R01,17.9.4
DEV-0365,distribution-switch-0365,10.2.111.10,ROUTER,Juniper,MX204,BRANCH-B,R28,20.4R3
DEV-0366,access-switch-0366,10.2.112.10,CORE_SWITCH,Juniper,EX3400,DC-1,R28,10.2.1
DEV-0367,firewall-0367,10.2.113.10,ROUTER,Arista,7050X3,BRANCH-B,R08,10.2.1
DEV-0368,access-switch-0368,10.2.114.10,CORE_SWITCH,Cisco,Catalyst-9300,HQ,R24,20.4R3
DEV-0369,firewall-0369,10.2.115.10,ROUTER,Cisco,Catalyst-9300,DC-2,R14,4.28.6M
DEV-0370,router-0370,10.2.116.10,ACCESS_SWITCH,Arista,7050X3,HQ,R28,20.4R3
DEV-0371,distribution-switch-0371,10.2.117.10,FIREWALL,Arista,7050X3,BRANCH-C,R22,17.9.4
DEV-0372,core-switch-0372,10.2.118.10,CORE_SWITCH,HPE,Aruba-6300,DC-2,R15,17.9.4
DEV-0373,core-switch-0373,10.2.119.10,ROUTER,Arista,7280R,BRANCH-A,R14,16.12.6
DEV-0374,core-switch-0374,10.2.120.10,DISTRIBUTION_SWITCH,Cisco,Catalyst-9300,BRANCH-C,R18,17.9.4
DEV-0375,router-0375,10.2.121.10,ROUTER,Dell,S5248F,DC-2,R22,10.2.1
DEV-0376,router-0376,10.2.122.10,DISTRIBUTION_SWITCH,Dell,S5248F,DC-2,R15,16.12.6
DEV-0377,core-switch-0377,10.2.123.10,CORE_SWITCH,Juniper,MX204,HQ,R14,4.28.6M
DEV-0378,core-switch-0378,10.2.124.10,DISTRIBUTION_SWITCH,Juniper,MX204,BRANCH-A,R30,4.28.6M
DEV-0379,router-0379,10.2.125.10,ACCESS_SWITCH,Dell,N3248,DC-1,R24,10.2.1
DEV-0380,distribution-switch-0380,10.2.126.10,CORE_SWITCH,Arista,7280R,DC-1,R15,17.9.4
DEV-0381,firewall-0381,10.2.127.10,FIREWALL,Dell,N3248,BRANCH-C,R08,4.28.6M
DEV-0382,access-switch-0382,10.2.128.10,CORE_SWITCH,Arista,7280R,BRANCH-A,R29,10.2.1
DEV-0383,distribution-switch-0383,10.2.129.10,FIREWALL,Juniper,EX3400,BRANCH-A,R27,17.9.4
DEV-0384,router-0384,10.2.130.10,FIREWALL,Arista,7280R,HQ,R05,10.2.1
DEV-0385,access-switch-0385,10.2.131.10,ACCESS_SWITCH,Cisco,Catalyst-9300,BRANCH-B,R30,4.28.6M
DEV-0386,firewall-0386,10.2.132.10,DISTRIBUTION_SWITCH,Cisco,ISR-4331,DC-1,R12,10.2.1
DEV-0387,core-switch-0387,10.2.133.10,ROUTER,Arista,7280R,HQ,R10,17.9.4
DEV-0388,core-switch-0388,10.2.134.10,DISTRIBUTION_SWITCH,Arista,7050X3,BRANCH-C,R07,20.4R3
DEV-0389,distribution-switch-0389,10.2.135.10,CORE_SWITCH,Arista,7280R,BRANCH-B,R09,4.28.6M
DEV-0390,distribution-switch-0390,10.2.136.10,DISTRIBUTION_SWITCH,HPE,Aruba-8320,BRANCH-C,R12,16.12.6
DEV-0391,distribution-switch-0391,10.2.137.10,FIREWALL,Cisco,Catalyst-9300,BRANCH-A,R11,20.4R3
DEV-0392,firewall-0392,10.2.138.10,DISTRIBUTION_SWITCH,Arista,7280R,BRANCH-B,R04,4.28.6M
DEV-0393,access-switch-0393,10.2.139.10,DISTRIBUTION_SWITCH,Juniper,EX3400,BRANCH-C,R21,10.2.1
DEV-0394,router-0394,10.2.140.10,ROUTER,Juniper,EX3400,BRANCH-B,R20,16.12.6
DEV-0395,firewall-0395,10.2.141.10,ACCESS_SWITCH,HPE,Aruba-8320,BRANCH-B,R16,17.9.4
DEV-0396,router-0396,10.2.142.10,DISTRIBUTION_SWITCH,HPE,Aruba-8320,DC-2,R19,4.28.6M
DEV-0397,access-switch-0397,10.2.143.10,CORE_SWITCH,HPE,Aruba-6300,BRANCH-C,R19,10.2.1
DEV-0398,distribution-switch-0398,10.2.144.10,FIREWALL,HPE,Aruba-6300,BRANCH-A,R19,10.2.1
DEV-0399,core-switch-0399,10.2.145.10,CORE_SWITCH,HPE,Aruba-8320,BRANCH-A,R17,20.4R3
DEV-0400,access-switch-0400,10.2.146.10,ACCESS_SWITCH,HPE,Aruba-6300,BRANCH-A,R22,10.2.1
DEV-0401,core-switch-0401,10.2.147.10,ROUTER,Cisco,ISR-4331,HQ,R15,4.28.6M
DEV-0402,core-switch-0402,10.2.148.10,DISTRIBUTION_SWITCH,Arista,7280R,BRANCH-B,R25,4.28.6M
DEV-0403,distribution-switch-0403,10.2.149.10,DISTRIBUTION_SWITCH,Dell,S5248F,BRANCH-B,R11,16.12.6
DEV-0404,core-switch-0404,10.2.150.10,ACCESS_SWITCH,Dell,S5248F,HQ,R21,20.4R3
DEV-0405,access-switch-0405,10.2.151.10,DISTRIBUTION_SWITCH,Juniper,EX3400,BRANCH-B,R29,10.2.1
DEV-0406,core-switch-0406,10.2.152.10,FIREWALL,HPE,Aruba-8320,BRANCH-B,R04,17.9.4
DEV-0407,distribution-switch-0407,10.2.153.10,ACCESS_SWITCH,HPE,Aruba-6300,DC-1,R04,16.12.6
DEV-0408,router-0408,10.2.154.10,ROUTER,HPE,Aruba-6300,BRANCH-A,R24,16.12.6
DEV-0409,firewall-0409,10.2.155.10,ROUTER,HPE,Aruba-8320,BRANCH-C,R22,4.28.6M
DEV-0410,router-0410,10.2.156.10,DISTRIBUTION_SWITCH,Arista,7280R,BRANCH-C,R10,16.12.6
DEV-0411,router-0411,10.2.157.10,CORE_SWITCH,Dell,S5248F,BRANCH-A,R24,20.4R3
DEV-0412,distribution-switch-0412,10.2.158.10,DISTRIBUTION_SWITCH,HPE,Aruba-6300,DC-1,R21,4.28.6M
DEV-0413,core-switch-0413,10.2.159.10,ACCESS_SWITCH,Juniper,EX3400,BRANCH-C,R15,17.9.4
DEV-0414,router-0414,10.2.160.10,FIREWALL,Arista,7280R,DC-2,R12,16.12.6
DEV-0415,distribution-switch-0415,10.2.161.10,FIREWALL,Dell,N3248,BRANCH-B,R03,17.9.4
DEV-0416,core-switch-0416,10.2.162.10,ACCESS_SWITCH,Dell,S5248F,DC-1,R21,4.28.6M
DEV-0417,firewall-0417,10.2.163.10,CORE_SWITCH,Cisco,Catalyst-9300,DC-2,R21,4.28.6M
DEV-0418,core-switch-0418,10.2.164.10,CORE_SWITCH,Juniper,EX3400,BRANCH-B,R29,17.9.4
DEV-0419,distribution-switch-0419,10.2.165.10,ACCESS_SWITCH,HPE,Aruba-6300,BRANCH-C,R17,16.12.6
DEV-0420,distribution-switch-0420,10.2.166.10,CORE_SWITCH,Juniper,MX204,BRANCH-B,R05,17.9.4
DEV-0421,distribution-switch-0421,10.2.167.10,DISTRIBUTION_SWITCH,Cisco,ISR-4331,HQ,R29,4.28.6M
DEV-0422,access-switch-0422,10.2.168.10,DISTRIBUTION_SWITCH,HPE,Aruba-6300,HQ,R17,10.2.1
DEV-0423,distribution-switch-0423,10.2.169.10,ROUTER,HPE,Aruba-8320,BRANCH-A,R22,10.2.1
DEV-0424,router-0424,10.2.170.10,ACCESS_SWITCH,HPE,Aruba-6300,DC-1,R08,17.9.4
DEV-0425,distribution-switch-0425,10.2.171.10,CORE_SWITCH,HPE,Aruba-6300,DC-2,R25,20.4R3
DEV-0426,core-switch-0426,10.2.172.10,DISTRIBUTION_SWITCH,HPE,Aruba-8320,HQ,R06,4.28.6M
DEV-0427,access-switch-0427,10.2.173.10,DISTRIBUTION_SWITCH,Cisco,Catalyst-9300,HQ,R05,20.4R3
DEV-0428,router-0428,10.2.174.10,DISTRIBUTION_SWITCH,Arista,7280R,BRANCH-A,R28,16.12.6
DEV-0429,firewall-0429,10.2.175.10,FIREWALL,HPE,Aruba-8320,DC-1,R15,17.9.4
DEV-0430,router-0430,10.2.176.10,ROUTER,Juniper,MX204,BRANCH-A,R02,20.4R3
DEV-0431,access-switch-0431,10.2.177.10,ACCESS_SWITCH,Dell,N3248,HQ,R08,16.12.6
DEV-0432,core-switch-0432,10.2.178.10,FIREWALL,HPE,Aruba-8320,BRANCH-A,R16,20.4R3
DEV-0433,router-0433,10.2.179.10,ACCESS_SWITCH,Dell,N3248,DC-1,R12,20.4R3
DEV-0434,firewall-0434,10.2.180.10,FIREWALL,Cisco,Catalyst-9300,BRANCH-C,R13,17.9.4
DEV-0435,router-0435,10.2.181.10,DISTRIBUTION_SWITCH,HPE,Aruba-6300,HQ,R23,20.4R3
DEV-0436,core-switch-0436,10.2.182.10,ACCESS_SWITCH,Dell,S5248F,BRANCH-A,R25,4.28.6M
DEV-0437,distribution-switch-0437,10.2.183.10,FIREWALL,Juniper,EX3400,BRANCH-B,R28,10.2.1
DEV-0438,router-0438,10.2.184.10,DISTRIBUTION_SWITCH,Cisco,ISR-4331,HQ,R28,4.28.6M
DEV-0439,access-switch-0439,10.2.185.10,DISTRIBUTION_SWITCH,Cisco,Catalyst-9300,BRANCH-A,R12,16.12.6
DEV-0440,distribution-switch-0440,10.2.186.10,ACCESS_SWITCH,Dell,N3248,BRANCH-A,R30,17.9.4
DEV-0441,router-0441,10.2.187.10,DISTRIBUTION_SWITCH,Dell,N3248,DC-1,R21,20.4R3
DEV-0442,distribution-switch-0442,10.2.188.10,CORE_SWITCH,HPE,Aruba-6300,DC-2,R26,20.4R3
DEV-0443,core-switch-0443,10.2.189.10,FIREWALL,Cisco,ISR-4331,HQ,R30,20.4R3
DEV-0444,core-switch-0444,10.2.190.10,ROUTER,Arista,7050X3,DC-2,R02,20.4R3
DEV-0445,core-switch-0445,10.2.191.10,ROUTER,HPE,Aruba-8320,DC-1,R08,20.4R3
DEV-0446,distribution-switch-0446,10.2.192.10,CORE_SWITCH,HPE,Aruba-6300,BRANCH-C,R15,10.2.1
DEV-0447,core-switch-0447,10.2.193.10,FIREWALL,Arista,7050X3,BRANCH-C,R20,4.28.6M
DEV-0448,core-switch-0448,10.2.194.10,CORE_SWITCH,HPE,Aruba-6300,BRANCH-A,R13,17.9.4
DEV-0449,core-switch-0449,10.2.195.10,ACCESS_SWITCH,Arista,7050X3,HQ,R27,17.9.4
DEV-0450,firewall-0450,10.2.196.10,ACCESS_SWITCH,HPE,Aruba-6300,BRANCH-C,R14,20.4R3
DEV-0451,core-switch-0451,10.2.197.10,CORE_SWITCH,HPE,Aruba-8320,BRANCH-C,R26,16.12.6
DEV-0452,access-switch-0452,10.2.198.10,ACCESS_SWITCH,Arista,7280R,HQ,R09,4.28.6M
DEV-0453,firewall-0453,10.2.199.10,CORE_SWITCH,HPE,Aruba-6300,BRANCH-A,R23,16.12.6
DEV-0454,access-switch-0454,10.2.200.10,ROUTER,HPE,Aruba-8320,BRANCH-C,R21,10.2.1
DEV-0455,core-switch-0455,10.2.201.10,CORE_SWITCH,HPE,Aruba-8320,DC-1,R24,4.28.6M
DEV-0456,access-switch-0456,10.2.202.10,FIREWALL,Cisco,Catalyst-9300,DC-1,R27,16.12.6
DEV-0457,access-switch-0457,10.2.203.10,ROUTER,HPE,Aruba-8320,DC-2,R09,10.2.1
DEV-0458,firewall-0458,10.2.204.10,CORE_SWITCH,Cisco,ISR-4331,BRANCH-C,R12,20.4R3
DEV-0459,distribution-switch-0459,10.2.205.10,FIREWALL,Arista,7050X3,BRANCH-B,R05,4.28.6M
DEV-0460,access-switch-0460,10.2.206.10,ROUTER,Dell,S5248F,BRANCH-B,R29,16.12.6
DEV-0461,core-switch-0461,10.2.207.10,ROUTER,Dell,S5248F,DC-1,R02,16.12.6
DEV-0462,router-0462,10.2.208.10,ROUTER,Dell,N3248,DC-1,R19,17.9.4
DEV-0463,firewall-0463,10.2.209.10,FIREWALL,HPE,Aruba-6300,BRANCH-C,R20,16.12.6
DEV-0464,access-switch-0464,10.2.210.10,ROUTER,Dell,S5248F,BRANCH-A,R28,4.28.6M
DEV-0465,firewall-0465,10.2.211.10,ACCESS_SWITCH,HPE,Aruba-8320,BRANCH-A,R02,17.9.4
DEV-0466,core-switch-0466,10.2.212.10,CORE_SWITCH,Arista,7280R,BRANCH-C,R06,16.12.6
DEV-0467,core-switch-0467,10.2.213.10,FIREWALL,Juniper,MX204,BRANCH-C,R26,20.4R3
DEV-0468,router-0468,10.2.214.10,DISTRIBUTION_SWITCH,Arista,7050X3,DC-1,R29,10.2.1
DEV-0469,access-switch-0469,10.2.215.10,ACCESS_SWITCH,Cisco,ISR-4331,BRANCH-B,R20,16.12.6
DEV-0470,firewall-0470,10.2.216.10,CORE_SWITCH,Dell,N3248,DC-1,R30,20.4R3
DEV-0471,router-0471,10.2.217.10,CORE_SWITCH,HPE,Aruba-8320,BRANCH-B,R21,16.12.6
DEV-0472,access-switch-0472,10.2.218.10,CORE_SWITCH,Juniper,EX3400,BRANCH-B,R17,16.12.6
DEV-0473,firewall-0473,10.2.219.10,ACCESS_SWITCH,Cisco,Catalyst-9300,DC-1,R07,10.2.1
DEV-0474,access-switch-0474,10.2.220.10,ACCESS_SWITCH,Arista,7050X3,BRANCH-C,R13,16.12.6
